,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Bilibino,68.0546,166.4372,-13.74,83,100,7.38,RU,1612118350
146,Lishui,28.4604,119.9103,54.41,86,7,2.19,CN,1612118350
147,Takoradze,4.8845,-1.7554,80.31,84,93,11.56,GH,1612118350
148,Yarkovo,57.4028,67.0786,7.57,95,47,2.93,RU,1612118351
149,Ponta Delgada,37.7333,-25.6667,64.0,88,75,16.11,PT,1612118351
150,Olafsvik,64.8945,-23.7142,30.02,96,100,12.68,IS,1612118352
151,Abalak,58.1286,68.5944,6.28,96,68,3.22,RU,1612118352
152,Yokadouma,3.5167,15.05,75.29,63,75,2.39,CM,1612118352
153,Saint Lawrence,36.0553,14.204,55.99,76,40,11.5,MT,1612118353
154,Brae,60.3964,-1.353,32.0,80,20,10.36,GB,1612118353
155,Broome,42.2506,-75.833,21.99,70,100,3.0,US,1612118353
156,Xingyi,24.1877,102.817,44.04,97,20,2.82,CN,1612118353
157,Severodvinsk,64.5635,39.8302,23.0,93,90,4.47,RU,1612118354
158,Mouzourás,35.5333,24.15,59.0,88,20,11.5,GR,1612118354
159,Salalah,17.0151,54.0924,73.4,64,0,3.44,OM,1612118071
160,Nome,64.5011,-165.4064,-5.8,59,1,8.05,US,1612118354
161,Lagoa,39.05,-27.9833,62.01,88,100,25.75,PT,1612118354
162,Bereda,43.2686,-7.5406,55.0,91,95,14.0,ES,1612118355
163,Aklavik,68.2191,-135.0107,-13.0,77,90,10.36,CA,1612118355
164,Ondarroa,43.3167,-2.4167,54.0,70,49,1.01,ES,1612118355
165,Irun,43.339,-1.7894,54.0,94,20,1.14,ES,1612118355
166,Grindavik,63.8424,-22.4338,28.4,74,75,9.22,IS,1612118355
167,Praia,14.9215,-23.5087,78.8,50,0,18.41,CV,1612118085
168,Novobirilyussy,56.9514,90.6661,-22.07,84,93,6.35,RU,1612118356
169,Saint George,37.1041,-113.5841,50.0,75,1,3.33,US,1612118357
170,Syracuse,37.0881,15.2792,55.0,76,20,6.91,IT,1612118357
171,Blacklick Estates,39.9051,-82.8643,37.0,93,90,10.36,US,1612118251
172,Koslan,63.4564,48.8989,22.51,97,100,9.35,RU,1612118357
173,Tiksi,71.6872,128.8694,-26.52,86,100,7.07,RU,1612118358
174,Tevriz,57.509,72.4042,3.0,94,87,4.32,RU,1612118358
175,Buraidah,26.326,43.975,62.6,48,0,4.61,SA,1612118358
176,Kenai,60.5544,-151.2583,3.0,70,1,3.44,US,1612118114
177,Chara,56.9064,118.2631,-33.86,74,100,2.82,RU,1612118358
178,Chokurdakh,70.6333,147.9167,-28.17,86,30,10.94,RU,1612118359
179,Nanchang,28.6833,115.8833,49.41,85,100,4.43,CN,1612118359
180,Kondinskoye,59.6481,67.41,5.2,94,83,4.61,RU,1612118359
181,Oodweyne,9.4092,45.064,68.16,36,0,10.22,SO,1612118359
182,Melfi,40.9965,15.6514,44.01,93,90,17.27,IT,1612118359
183,Longyearbyen,78.2186,15.6401,-4.0,45,20,17.27,SJ,1612118360
184,Talnakh,69.4865,88.3972,-25.89,73,85,9.46,RU,1612118360
185,Nizhnyaya Poyma,56.1622,97.1933,-33.5,82,0,2.89,RU,1612118361
186,Mokshan,53.4365,44.6132,33.01,99,100,18.45,RU,1612118361
187,Morant Bay,17.8815,-76.4093,87.01,65,40,25.32,JM,1612118361
188,Vuktyl,63.8567,57.3094,20.34,95,100,11.36,RU,1612118361
189,Erdaojiang,41.7764,126.0319,28.63,98,96,4.27,CN,1612118353
190,Otukpo,7.1913,8.1329,84.24,15,0,3.18,NG,1612118362
191,Sirte,31.2089,16.5887,65.64,52,100,14.83,LY,1612118362
192,Sur,22.5667,59.5289,69.17,55,0,4.76,OM,1612118363
193,Batagay-Alyta,67.8006,130.4114,-33.68,82,100,1.79,RU,1612118363
194,Arlit,18.7369,7.3853,67.69,19,3,5.41,NE,1612118363
195,Bristol,41.8334,-71.1662,25.0,54,1,3.44,US,1612118160
196,Bhātāpāra,21.7333,81.9333,64.4,32,0,2.3,IN,1612118364
197,Kattivākkam,13.2167,80.3167,77.0,78,20,4.61,IN,1612118364
198,Pangody,65.85,74.4859,-6.12,91,100,8.9,RU,1612118364
199,Egvekinot,66.3167,-179.1667,-12.6,86,100,18.14,RU,1612118110
200,Vanavara,60.34,102.2797,-38.11,81,33,4.5,RU,1612118364
201,Yar-Sale,66.8333,70.8333,-10.17,90,98,7.61,RU,1612118364
202,Avera,33.194,-82.5271,57.2,95,90,5.75,US,1612118365
203,Westport,41.1415,-73.3579,25.0,45,1,2.86,US,1612118365
204,La Ronge,55.1001,-105.2842,15.8,79,84,4.61,CA,1612118365
205,Forsytheganj,52.6333,29.7333,19.31,97,48,9.33,BY,1612118365
206,Hofn,64.2539,-15.2082,26.08,77,0,9.8,IS,1612118366
207,Dudinka,69.4058,86.1778,-16.29,86,100,10.71,RU,1612118366
208,Bonavista,48.6499,-53.1147,32.0,93,100,6.91,CA,1612118366
209,Oussouye,12.485,-16.5469,95.0,74,0,4.61,SN,1612118366
210,Petropavl,54.8753,69.1628,5.04,93,54,5.17,KZ,1612118366
211,Coimbra,40.2056,-8.4195,59.0,94,26,1.99,PT,1612118187
212,Pochutla,15.7432,-96.4661,90.0,40,1,8.39,MX,1612118367
213,Payson,40.0444,-111.7321,37.99,69,40,5.75,US,1612118368
214,Vila Franca do Campo,37.7167,-25.4333,64.0,88,75,16.11,PT,1612118368
215,Ranong,9.9658,98.6348,73.29,85,72,3.44,TH,1612118368
216,Sobolevo,54.4299,31.8996,21.88,96,99,14.27,RU,1612118369
217,Meulaboh,4.1363,96.1285,76.19,86,81,2.59,ID,1612118369
218,Half Moon Bay,37.4636,-122.4286,60.01,54,1,8.05,US,1612118369
219,Vysokogornyy,50.1167,139.15,-24.27,84,88,2.68,RU,1612118369
220,Kangaatsiaq,68.3065,-53.4641,4.41,94,88,9.28,GL,1612118369
221,Margate,51.3813,1.3862,39.0,97,100,1.01,GB,1612118369
222,Saint Paul Harbor,57.79,-152.4072,26.6,54,1,5.75,US,1612118370
223,Taoudenni,22.6783,-3.9836,74.88,18,0,8.21,ML,1612118370
224,Acapulco de Juárez,16.8634,-99.8901,84.2,70,20,6.91,MX,1612118370
225,Haines Junction,60.7522,-137.5108,-13.0,84,79,1.81,CA,1612118370
226,Bathsheba,13.2167,-59.5167,84.2,58,20,24.16,BB,1612118370
227,Ostrovnoy,68.0531,39.5131,13.41,94,87,6.44,RU,1612118371
228,Joensuu,62.6012,29.7632,19.4,93,90,2.64,FI,1612118371
229,Changzhou,31.7833,119.9667,51.01,95,100,3.91,CN,1612118371
230,Puerto Colombia,10.9878,-74.9547,87.8,58,0,16.11,CO,1612118371
231,Sulangan,11.1373,123.7228,79.45,78,100,19.3,PH,1612118371
232,Muroto-misakicho,33.2833,134.15,51.44,59,0,2.68,JP,1612118372
233,Ishigaki,24.3448,124.1572,68.41,71,34,15.77,JP,1612118289
234,Svetlaya,46.5389,138.3297,2.23,81,100,3.69,RU,1612118372
235,Ust'-Omchug,61.15,149.6333,-30.3,79,99,9.06,RU,1612118372
236,Marzuq,14.4,46.4667,62.22,43,0,1.59,YE,1612118372
237,Wuwei,37.9281,102.6414,24.37,66,0,5.21,CN,1612118373
238,Bud,39.447,-86.1758,36.0,98,100,6.31,US,1612118373
239,Seminole,28.7086,-81.2081,78.8,44,1,16.11,US,1612118373
240,Carora,10.1755,-70.0827,92.55,33,88,17.94,VE,1612118374
241,Ileza,61.0533,43.9002,20.41,98,100,5.12,RU,1612118374
242,Zaysan,47.4667,84.8667,3.02,85,2,0.45,KZ,1612118374
243,Port Hardy,50.6996,-127.4199,44.6,87,75,5.75,CA,1612118374
244,Hailar,49.2,119.7,-23.91,85,25,8.68,CN,1612118375
245,Provideniya,64.3833,-173.3,-6.45,88,100,24.14,RU,1612118375
246,Kiruna,67.8557,20.2251,15.8,92,75,10.36,SE,1612118268
247,San Ramon,37.7799,-121.978,60.01,62,1,5.75,US,1612118376
248,Sørland,67.667,12.6934,32.0,59,40,9.22,NO,1612118376
249,Borgarnes,64.5383,-21.9206,28.4,59,0,12.66,IS,1612118376
250,Zhigansk,66.7697,123.3711,-45.44,76,37,2.21,RU,1612118376
251,Abonnema,4.7084,6.7931,87.8,62,20,6.91,NG,1612118376
252,Ledyard Center,41.4398,-72.0142,24.01,45,1,4.61,US,1612118211
253,Vienna,48.2085,16.3721,33.01,74,75,2.3,AT,1612118087
254,Kavaratti,10.5669,72.642,81.46,72,0,7.38,IN,1612118377
255,West Fargo,46.875,-96.9004,26.6,80,90,9.22,US,1612118304
256,Mikhaylovka,50.06,43.2379,36.0,82,100,8.99,RU,1612118378
257,College,64.8569,-147.8028,-5.8,77,90,0.18,US,1612118378
258,Sovetskiy,61.3614,63.5842,0.05,93,100,6.38,RU,1612118378
259,Laas,46.6166,10.7002,36.0,74,0,5.75,IT,1612118379
260,Riohacha,11.5444,-72.9072,87.67,52,58,19.93,CO,1612118357
261,Havre-St-Pierre,50.2334,-63.5986,26.6,54,20,10.36,CA,1612118379
262,Iqaluit,63.7506,-68.5145,-5.8,71,75,2.3,CA,1612118210
263,Abnūb,27.2696,31.1511,60.8,55,0,9.22,EG,1612118379
264,Nioro,13.35,-15.75,90.43,10,0,6.98,GM,1612118380
265,Setermoen,68.861,18.3486,5.0,92,75,2.3,NO,1612118380
266,Terrace,54.5163,-128.6035,24.8,86,90,20.71,CA,1612118173
267,Pyshchug,58.8873,45.7134,31.14,99,100,12.15,RU,1612118380
268,Kalmunai,7.4167,81.8167,76.41,88,13,5.03,LK,1612118380
269,Yerofey Pavlovich,53.9667,121.9667,-28.14,80,100,2.15,RU,1612118381
270,Hobyo,5.3505,48.5268,76.21,75,0,15.79,SO,1612118381
271,Wąbrzeźno,53.2799,18.9477,28.99,82,48,1.99,PL,1612118381
272,Hanzhong,33.0728,107.0303,44.06,56,35,0.67,CN,1612118381
273,Lao Cai,22.4833,103.95,61.52,83,100,0.47,VN,1612118382
274,Isla Mujeres,21.2311,-86.731,80.6,69,75,13.8,MX,1612118382
275,Hirara,24.8,125.2833,67.69,69,86,17.18,JP,1612118327
276,Ōfunato,39.0717,141.7167,25.05,91,79,7.65,JP,1612118351
277,Thunder Bay,48.4001,-89.3168,32.0,93,90,12.66,CA,1612118237
278,Verkhnyaya Inta,65.9811,60.3094,9.68,90,100,7.14,RU,1612118383
279,Clyde River,70.4692,-68.5914,-5.8,77,1,4.61,CA,1612118354
280,Puerto Ayacucho,5.6639,-67.6236,90.99,50,100,6.46,VE,1612118384
281,Maniitsoq,65.4167,-52.9,14.09,73,0,5.35,GL,1612118384
282,Batagay,67.6333,134.6333,-49.41,76,90,0.74,RU,1612118384
283,Puerto Carreño,6.189,-67.4859,92.68,43,100,13.33,CO,1612118384
284,Dubrovnik,42.6481,18.0922,50.0,93,75,5.75,HR,1612118223
285,Jalu,29.0331,21.5482,65.73,26,0,10.78,LY,1612118385
286,Gazojak,41.1875,61.4036,39.2,72,21,4.05,TM,1612118385
287,Potrero del Llano,21.05,-97.6833,80.6,57,20,11.5,MX,1612118385
288,Bandarbeyla,9.4942,50.8122,74.26,70,7,16.44,SO,1612118385
289,Zapolyarnyy,69.4154,30.8136,15.8,86,0,6.91,RU,1612118386
290,Mezhdurechensk,53.6942,88.0603,0.45,86,8,3.76,RU,1612118386
291,Vilyuysk,63.7553,121.6247,-46.61,77,100,5.64,RU,1612118387
292,Doha,25.2867,51.5333,62.6,59,0,9.22,QA,1612118370
293,Marawi,7.9986,124.2928,75.0,92,100,2.68,PH,1612118387
294,Port-Cartier,50.0334,-66.8654,28.4,54,19,8.05,CA,1612118387
295,Teacapan,22.55,-105.75,80.02,44,0,9.28,MX,1612118388
296,Kholodnyy,62.7167,147.95,-27.06,80,100,4.72,RU,1612118388
297,Kysyl-Syr,63.8986,122.7617,-45.4,77,100,6.2,RU,1612118388
298,Trivandrum,8.4833,76.9167,84.2,70,40,3.51,IN,1612118388
299,Carballo,43.213,-8.691,57.0,82,97,8.99,ES,1612118388
300,Ossett,53.6798,-1.5801,37.0,72,100,9.6,GB,1612118389
301,Sabha,27.0377,14.4283,62.8,25,0,8.88,LY,1612118389
302,Puerto Escondido,15.85,-97.0667,86.0,70,20,8.05,MX,1612118389
303,Romny,50.751,33.4747,19.29,97,4,7.54,UA,1612118390
304,Sibolga,1.7427,98.7792,75.24,80,100,5.37,ID,1612118390
305,Hämeenlinna,60.996,24.4643,19.0,92,90,3.44,FI,1612118391
306,Mugur-Aksy,50.35,90.5,4.41,64,66,3.2,RU,1612118402
307,Luleå,65.5842,22.1547,15.8,92,90,4.61,SE,1612118323
308,Avilés,43.5547,-5.9248,63.0,67,75,25.32,ES,1612118403
309,Zhangye,38.9342,100.4517,21.45,68,0,3.8,CN,1612118403
310,Caceres,39.522,-6.3748,57.0,91,95,5.01,ES,1612118403
311,Nuuk,64.1835,-51.7216,15.8,86,20,12.66,GL,1612118404
312,Aykhal,66.0,111.5,-39.15,79,100,10.54,RU,1612118404
313,Yumen,40.2833,97.2,22.26,67,0,6.49,CN,1612118404
314,Houma,29.5958,-90.7195,73.0,60,1,16.11,US,1612118379
315,Hāgere Hiywet,8.9833,37.85,59.68,33,0,7.61,ET,1612118405
316,Wah,33.798,72.6957,50.4,46,18,2.95,PK,1612118405
317,Saint-Felix-de-Valois,46.1668,-73.4324,8.01,51,2,2.3,CA,1612118405
318,Adeje,28.1227,-16.726,69.8,64,0,16.11,ES,1612118406
319,Nipawin,53.3668,-104.0009,12.2,92,90,3.44,CA,1612118368
320,Katsuura,35.1333,140.3,42.8,42,75,8.05,JP,1612118406
321,Goderich,43.7501,-81.7165,26.6,68,100,19.57,CA,1612118219
322,Birao,10.2849,22.7882,78.35,18,0,6.02,CF,1612118407
323,Ullapool,57.8987,-5.1604,30.99,91,74,1.99,GB,1612118408
324,Qaqortoq,60.7167,-46.0333,39.2,30,75,26.46,GL,1612118408
325,Stromness,58.965,-3.296,30.2,93,40,5.75,GB,1612118408
326,Fort Nelson,58.8053,-122.7002,-14.8,76,90,3.89,CA,1612118362
327,Russell,32.3502,-85.1999,64.4,88,75,4.61,US,1612118411
328,Morgan City,29.6994,-91.2068,71.6,53,1,14.97,US,1612118413
329,Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.8,67,43,6.71,RU,1612118431
330,Puerto López,4.0845,-72.956,97.43,30,93,9.69,CO,1612118431
331,Guerrero Negro,27.9769,-114.0611,67.28,32,100,2.66,MX,1612118282
332,Kathmandu,27.7167,85.3167,44.6,76,20,3.44,NP,1612118135
333,Mława,53.1128,20.3841,26.6,74,40,16.11,PL,1612118235
334,Xinan,26.72,119.8556,55.67,88,8,6.13,CN,1612118432
335,Horadiz,39.4488,47.3353,42.8,81,0,4.61,AZ,1612118433
336,Nakamura,32.9833,132.9333,40.87,83,0,2.57,JP,1612118433
337,San Antonio,29.4241,-98.4936,70.0,26,1,16.11,US,1612118102
338,Puerto del Rosario,28.5004,-13.8627,71.6,56,0,11.5,ES,1612118433
339,Nadym,65.5333,72.5167,-3.71,92,100,6.62,RU,1612118434
340,Logan Lake,50.4998,-120.8025,39.99,75,75,10.36,CA,1612118434
341,Anju,39.6178,125.6647,36.86,96,100,6.91,KP,1612118434
342,Taunggyi,20.7833,97.0333,50.14,63,0,3.53,MM,1612118435
343,Sabadell,41.5433,2.1094,61.0,58,0,8.05,ES,1612118435
344,Dakoro,14.5106,6.765,72.34,19,0,5.99,NE,1612118435
345,Inta,66.0317,60.1659,9.25,90,95,7.23,RU,1612118435
346,Fukuechō,32.6881,128.8419,58.64,71,100,25.61,JP,1612118435
347,Ilulissat,69.2167,-51.1,8.6,52,90,21.85,GL,1612118436
348,Ixtapa,20.7,-105.2,77.0,57,1,5.75,MX,1612118436
349,Kulhudhuffushi,6.6221,73.07,82.06,72,99,7.67,MV,1612118436
350,Upata,8.0086,-62.3989,85.78,53,79,8.63,VE,1612118436
351,Galle,6.0367,80.217,75.29,86,2,0.94,LK,1612118437
352,Ōhara,35.25,140.3833,42.8,55,75,9.22,JP,1612118437
353,Zaria,11.1113,7.7227,77.27,18,0,10.56,NG,1612118437
354,Maykop,44.6078,40.1058,42.84,82,100,2.55,RU,1612118437
355,Tessalit,20.1986,1.0114,69.12,18,71,9.19,ML,1612118438
356,Shchors,51.8186,31.945,17.73,96,0,8.39,UA,1612118438
357,Turukhansk,65.8167,87.9833,-13.72,83,100,10.67,RU,1612118438
